frame,timestamp_sec,person_id,track_id,face_similarity,body_similarity,face_temporal_delta,body_temporal_delta,frame_quality,occlusion,drift,drift_severity,drift_reasons
0,0.000,CRZ-H001,0,0.864278,0.745136,,,0.7535,0.0000,false,0.0000,""
1,0.166,CRZ-H001,0,0.862738,0.732354,0.012559,0.002755,0.7430,0.0000,false,0.0000,""
2,0.333,CRZ-H001,0,0.866288,0.727388,0.015725,0.002443,0.7441,0.0000,false,0.0000,""
3,0.500,CRZ-H001,0,0.857058,0.720365,0.013089,0.002219,0.7385,0.0000,false,0.0000,""
4,0.666,CRZ-H001,0,0.860682,0.714728,0.014512,0.000533,0.7443,0.0000,false,0.0000,""
5,0.833,CRZ-H001,0,0.866421,0.717056,0.014826,0.000161,0.7405,0.0000,false,0.0000,""
6,1.000,CRZ-H001,0,0.865062,0.714683,0.007818,0.000263,0.7399,0.0000,false,0.0000,""
7,1.166,CRZ-H001,0,0.862280,0.713906,0.010951,0.000511,0.7401,0.0000,false,0.0000,""
8,1.333,CRZ-H001,0,0.860933,0.715352,0.012128,0.000403,0.7379,0.0000,false,0.0000,""
9,1.500,CRZ-H001,0,0.863810,0.712654,0.018302,0.000255,0.7401,0.0000,false,0.0000,""
10,1.666,CRZ-H001,0,0.837237,0.706349,0.079134,0.001113,0.7104,0.0000,false,0.0000,""
11,1.833,CRZ-H001,0,0.801419,0.709614,0.141940,0.001325,0.7114,0.0000,false,0.0000,""
12,2.000,CRZ-H001,0,0.741482,0.720672,0.106540,0.004562,0.6953,0.0000,false,0.0000,""
13,2.166,CRZ-H001,0,0.700429,0.724866,0.114211,0.001231,0.7355,0.0000,false,0.0000,""
14,2.333,CRZ-H001,0,0.676434,0.736029,0.100436,0.004032,0.7243,0.0000,false,0.0000,""
15,2.500,CRZ-H001,0,0.629176,0.731342,0.080326,0.000669,0.7426,0.0000,false,0.0184,"face_similarity_drop"
16,2.666,CRZ-H001,0,0.648934,0.733259,0.043670,0.000352,0.7522,0.0000,false,0.0000,""
17,2.833,CRZ-H001,0,0.655570,0.737719,0.035161,0.001519,0.7542,0.0000,false,0.0000,""
18,3.000,CRZ-H001,0,0.650563,0.737893,0.040046,0.000190,0.7410,0.0000,false,0.0000,""
19,3.166,CRZ-H001,0,0.705722,0.733693,0.084562,0.000857,0.7128,0.0000,false,0.0000,""
20,3.333,CRZ-H001,0,0.762847,0.728412,0.235541,0.004919,0.6843,0.0000,false,0.0742,"face_temporal_instability"
21,3.500,CRZ-H001,0,0.887033,0.729698,0.193356,0.003327,0.6883,0.0000,false,0.0398,"face_temporal_instability"
22,3.666,CRZ-H001,0,0.783396,0.723003,0.174610,0.010347,0.6755,0.0000,false,0.0000,""
23,3.833,CRZ-H001,0,0.710180,0.719335,0.142309,0.002495,0.7035,0.0000,false,0.0000,""
24,4.000,CRZ-H001,0,0.706098,0.730506,0.074137,0.002206,0.7246,0.0000,false,0.0000,""
